id;title;person;sole;legal;group_title;department;level;is_not_render;deleted;frgu_service_id;eid;lid;parent_service_eid;parent_service_lid
27635;Назначение, перерасчет размера и выплата ежемесячной доплаты к пенсии по государственному пенсионному обеспечению военнослужащим, проходившим военную службу по призыву, ставшим инвалидами вследствие военной травмы;1;0;0;Другие услуги;316164;REGIONAL;False;False;3800000010000291801;custom27635;custom27635;;
27639;Назначение и выплата дополнительного ежемесячного материального обеспечения отдельным категориям граждан;1;0;0;Другие услуги;316164;REGIONAL;False;False;3800000010000292000;custom27639;custom27639;;
27641;Государственная услуга по государственной регистрации прав на недвижимое имущество и сделок с ним;1;1;1;;316134;FEDERAL;True;False;10000011206;custom27641;custom27641;;
27694;Государственная услуга по государственному кадастровому учету недвижимого имущества;1;1;1;;9315713;FEDERAL;True;False;10000012269;custom27694;custom27694;;
27696;Государственная услуга по предоставлению сведений, внесенных в государственный кадастр недвижимости;1;1;1;;9315713;FEDERAL;True;False;10000013628;custom27696;custom27696;;
27698;Удалена (Выдача платежных документов на уплату задолженности по имущественным налогам физических лиц (форма № ПД налог));1;1;1;;316129;FEDERAL;True;False;;custom27698;custom27698;;
27700;Прием запроса о предоставлении справки о состоянии расчетов по налогам, сборам, страховым взносам, пеням, штрафам, процентам;1;1;1;;316129;FEDERAL;False;False;;custom27700;custom27700;;
27708;Принятие на учет и обеспечение жилыми помещениями отдельных категорий граждан в соответствии с Законом Российской Федерации "О реабилитации жертв политических репрессий";1;0;0;Другие услуги;316164;REGIONAL;False;False;3800000010000295255;custom27708;custom27708;;
27711;Запись в очередь МФЦ;1;1;1;;316189;REGIONAL;True;False;;custom27711;custom27711;;
27728;Составление договора;1;1;1;МФЦ Шелехов;38116;REGIONAL;True;False;;custom27728;custom27728;;
27751;Составление исковых заявлений;1;1;1;МФЦ Шелехов;38116;REGIONAL;True;False;;custom27751;custom27751;;
27753;Претензии;1;1;1;Услуги МФЦ;316189;REGIONAL;True;False;;custom27753;custom27753;;
27792;Прием и учет уведомлений о начале осуществления юридическими лицами и индивидуальными предпринимателями отдельных видов работ и услуг при оказании социальных услуг и при производстве средств индивидуальной защиты;1;1;1;;26560128;FEDERAL;True;False;;custom27792;custom27792;;
27794;Выдача лицензий на осуществление медицинской деятельности, осуществляемой организациями государственной системы здравоохранения, а также деятельности, осуществляемой организациями муниципальной и частной систем здравоохранения по оказанию высокотехнологичной медицинской помощи;0;1;1;;316155;REGIONAL;True;False;;custom27794;custom27794;;
27796;Выдача лицензий на осуществление фармацевтической деятельности;1;1;1;;316155;REGIONAL;True;False;;custom27796;custom27796;;
27798;Выдача лицензий на осуществление деятельности, связанной с оборотом наркотических средств, психотропных веществ, внесенных в Список II,III в соответствии с Федеральным законом "О наркотических средствах и психотропных веществах";0;1;1;;316155;REGIONAL;True;False;;custom27798;custom27798;;
27800;Выдача лицензий на осуществление деятельности, связанной с производством, переработкой, хранением, реализацией, приобретением и использованием прекурсоров наркотических средств и психотропных веществ, внесенных в Таблицу I Списка IV в соответствии с Федеральным законом "О наркотических средствах и психотропных веществах";1;1;1;;316155;REGIONAL;True;False;;custom27800;custom27800;;
27802;Прием запроса о предоставлении акта совместной сверки расчетов по налогам, сборам, страховым взносам, пеням, штрафам, процентам;1;1;1;МФЦ;316129;FEDERAL;False;False;;custom27802;custom27802;;
27804;Прием запроса о предоставлении справки об исполнении налогоплательщиком (плательщиком сборов, налоговым агентом) обязанности по уплате налогов, сборов, пеней, штрафов, процентов;1;1;1;МФЦ;316129;FEDERAL;True;False;;custom27804;custom27804;;
27806;Прием заявления физического лица о предоставлении налоговой льготы по транспортному налогу, по земельному налогу, налогу на имущество физических лиц;1;0;0;МФЦ;316129;FEDERAL;False;False;;custom27806;custom27806;;
27808;Прием заявления физического лица о постановке на учет в налоговом органе и выдача (повторная выдача) физическому лицу свидетельства о постановке на учет;1;0;0;МФЦ;316129;FEDERAL;False;False;;custom27808;custom27808;;
27810;Прием заявлений (сообщений) о постановке на учет (снятие с учета) юридических лиц, индивидуальных предпринимателей в качестве налогоплательщиков ЕНВД;0;1;1;;316129;FEDERAL;True;False;;custom27810;custom27810;;
27812;Осуществление в установленном порядке выдачи выписок из реестра федерального имущества;1;1;1;;81688308;FEDERAL;False;False;10000069147;custom27812;custom27812;;
27816;Регистрация и снятие с регистрационного учета лиц, добровольно вступивших в правоотношения по обязательному социальному страхованию на случай временной нетрудоспособности и в связи с материнством (старая);1;1;0;МФЦ;316164;REGIONAL;True;False;;custom27816;custom27816;;
27818;Регистрация страхователей и снятие с учета страхователей - физических лиц, обязанных уплачивать страховые взносы в связи с заключением гражданско-правового договора (Старая);1;0;0;МФЦ;316132;FEDERAL;True;False;;custom27818;custom27818;;
27820;Регистрация и снятие с регистрационного учета страхователей физических лиц, заключивших трудовой договор с работником (скрыта);1;0;0;МФЦ;316132;FEDERAL;True;False;;custom27820;custom27820;;
27822;Регистрация и снятие с регистрационного учета страхователей - юридических лиц по месту нахождения обособленных подразделений;0;1;1;МФЦ;316132;FEDERAL;False;False;10001294274;custom27822;custom27822;;
27878;Консультация;1;1;1;МФЦ;316189;REGIONAL;True;False;;custom27878;custom27878;;
27908;Установление опеки или попечительства над несовершеннолетними гражданами и назначение опекуна или попечителя на основании заявления гражданина;1;0;0;МФЦ;316164;REGIONAL;False;False;3800000010000285051;custom27908;custom27908;;
27910;Установление опеки или попечительства по договору об осуществлении опеки или попечительства на возмездных условиях;1;0;0;;316164;REGIONAL;False;False;3800000010000297095;custom27910;custom27910;;
27912;Учет граждан, выразивших желание стать опекунами или попечителями несовершеннолетних граждан либо принять детей, оставшихся без попечения родителей, в семью на воспитание в иных установленных семейным законодательством Российской Федерации формах;1;0;0;МФЦ;316164;REGIONAL;False;False;3800000010000296537;custom27912;custom27912;;
27914;Назначение и предоставление ежемесячной денежной выплаты лицам из числа детей-сирот и детей, оставшихся без попечения родителей, продолжающим обучение в общеобразовательных организациях;1;0;0;МФЦ;316164;REGIONAL;False;False;3800000010000307797;custom27914;custom27914;;
27916;Предоставление ежемесячной денежной выплаты семьям в случае рождения, усыновления (удочерения) третьего или последующих детей;1;0;0;;316164;REGIONAL;False;False;3800000010000318712;custom27916;custom27916;;
27918;Подготовка и подписание договора передачи жилого помещения в собственность гражданина;1;1;1;;38111;REGIONAL;True;False;;custom27918;custom27918;;
27920;Получение дубликата договора передачи жилого помещения в собственность гражданина;1;1;1;;38111;REGIONAL;True;False;;custom27920;custom27920;;
27922;Выдача справок о приватизации жилого помещения;1;1;1;;38111;REGIONAL;True;False;;custom27922;custom27922;;
27924;Заключение договора социального найма жилого помещения;1;1;1;;38111;REGIONAL;True;False;;custom27924;custom27924;;
27926;Перевод жилого помещения в нежилое и нежилого помещения в жилое помещение;1;1;1;;38111;REGIONAL;True;False;;custom27926;custom27926;;
27928;Оформление документов при переустройстве и (или) перепланировке жилого помещения;1;1;1;;38111;REGIONAL;True;False;;custom27928;custom27928;;
27930;Удалена(Согласование границ земельного участка);1;1;1;;38111;REGIONAL;True;False;;custom27930;custom27930;;
27932;_Определение местоположения земельного участка, присвоение адреса помещению, зданию, сооружению (в отношении территорий Подкаменского и Шаманского муниципальных образований);1;1;1;;38112;;False;True;;custom27932;custom27932;;
27934;Информационное обеспечение пользователей в соответствии с их запросами;1;1;1;;38112;MUNICIPAL;False;False;3800000010000072302;custom27934;custom27934;;
27936;Предоставление гражданам земельных участков для ведения садоводства, огородничества и дачного хозяйства (строительства);1;1;0;;38112;MUNICIPAL;True;False;;custom27936;custom27936;;
