id;auto_ping_queue
1;True
3;False
5;False
7;False
9;False
11;False
13;False
1276;False
1278;False
1280;False
1434;False
27516;True
27518;False
27520;False
27525;True
27550;False
27713;False
27715;False
27717;False
27721;False
27745;False
27826;False
28022;False
28250;False
28987;False
30909;False
40512;False
43448;False
47842;False
60545;False
72799;False
99772;False
135599;False
159970;True
164488;False
182711;False
193686;False
198753;True
199832;False
205565;False
211099;True
219369;False
219372;False
219403;False
219405;False
219408;True
219411;True
219414;False
219429;False
219431;True
219437;True
219440;False
219442;True
219444;True
219446;False
219448;False
219450;False
219453;True
219458;False
219460;False
219463;False
219470;False
219474;False
219477;False
219479;False
219482;True
219484;True
219486;True
219488;False
222469;False
226839;False
226853;False
239908;False
263895;False
263904;False
273060;False
285977;False
294933;False
332491;True
332495;True
332499;False
332505;True
332509;True
361669;False
371438;False
371491;False
371528;True
371531;True
371537;True
371543;False
371552;False
378285;False
378665;True
378675;False
410415;True
468229;False
509926;True
509939;False
553839;False
553867;True
562630;False
590819;False
632961;True
633643;False
633670;False
633710;True
633716;True
659200;False
666078;False
666126;True
666144;False
666811;False
711568;False
711594;False
711639;True
751688;True
751737;False
866126;False
866218;True
870282;False
870365;True
870461;True
872047;True
872079;True
872171;True
872241;True
872274;False
872317;True
872591;True
918751;False
1023363;False
1023415;False
1068702;False
1090224;False
1124105;False
1124148;False
1124159;False
1146247;False
1146294;True
1146356;True
1198977;True
1200989;True
1201059;False
1205247;False
1205334;False
1205400;False
1205419;True
1267393;False
1267414;False
1267437;False
1267468;False
1272219;False
1272221;False
1272223;True
1272225;False
1272227;False
1272229;True
1272231;True
1272233;True
1294445;False
1294483;True
1294518;False
1294556;True
1294581;False
1294631;False
1294669;True
1294703;False
1294828;True
1294865;False
1294919;True
1294950;True
1354950;False
1355027;False
1355112;False
1355158;False
1355221;False
1355290;False
1378733;False
1379374;False
1425463;False
1455341;False
1457808;False
1520697;True
1525922;True
1525974;False
1526065;False
1526134;False
1526951;False
1633880;False
1673823;False
1673876;True
1673916;True
1673940;True
1676863;False
1676926;False
1677258;True
1678016;False
1692359;False
1730078;False
1748104;False
1811715;True
1811788;False
1811888;True
1816856;True
1820305;False
1820423;False
1820939;False
1821065;False
1836086;False
1836168;False
1836673;False
1867834;False
1871283;False
1875735;True
1908924;False
1909100;False
1909265;True
1909460;False
1909590;False
1909941;False
1910075;False
1910338;True
1910887;True
1911077;True
1913495;True
1913620;True
1913704;True
1913842;True
1913983;True
1914085;False
1914150;True
1914344;False
1914476;False
1914602;True
1914642;False
1927035;True
1927285;True
1928766;False
1929166;False
1930352;False
1931919;True
1932413;False
1932538;True
1932701;False
1932924;True
1933384;False
1933541;True
1933638;True
1933846;False
1965334;False
1965593;False
1968686;True
1970346;True
1970427;True
1970511;True
1970556;True
1970763;False
1971004;True
2007040;False
2007507;False
2007617;False
2008187;False
2008326;False
2008445;False
2011037;True
2036142;False
2043221;True
2044108;False
2044530;False
2046048;False
2046104;False
2046239;False
2059077;True
2059079;True
2059081;True
2059083;False
2059085;True
2059103;True
2059115;False
2059117;False
2059119;False
2059121;False
2059123;False
2067321;True
